,Дата,Время,Сайт,Отзыв
80,15 февраля 2019,14:35,professorrating.org,"Безработных выпускников МГУ нет, есть люди с купленными и поддельными дипломами.







"
81,10 июля 2015,13:13,professorrating.org,"Здравствуйте! Расскажите, пожалуйста, про факультет фундаментальной медицины. Стоит ли туда идти ? Я из Самары, у нас хороший свой ВУЗ с собственными клиниками. Есть ли смысл думать об МГУ ?







"
82,11 июля 2015,11:08,professorrating.org,"Думать о МГУ имени М.В.Ломоносова, стоит всегда и, днём и ночью. Что касается факультета Фундаментальной медицины МГУ имени М.В.Ломоносова, то по нему очень скудная информация. Могу сказать, что его восстановили и открыли вновь с ДОПЯТИКАМПРОВСКИХ времён.







"
83,16 июля 2015,01:01,professorrating.org,"Да это правда. Что есть, то есть. У меня до сих пор перед глазами, сдача одного из экзаменов, на Юридическом факультете. Но Вы знаете, если говорить честно, то и дают знания контрактникам и бюджетникам по разному. Нам спецфаковцам например, было смешно, когда мы зашли послушать лекции по гражданскому праву, которые читали бюджетникам. И в тоже время совсем не смешно нам было на сдаче экзаменов по Истории политических и правовых учений, так как тем кто учился на бюджете, совершенно по другому преподавали Историю политических и правовых учений и, они на голову были лучше подготовлены к экзаменам, нежели чем мы спецфаковцы.







"
84,18 июля 2015,08:27,professorrating.org,"Расскажите, пожалуйста, о физическом факультете.







"
85,21 июля 2015,22:17,professorrating.org,"Также, отличительной особенностью обучения в МГУ имени М.В.Ломоносова, является факт, отрицательного отношения преподавателей к туристическим поездкам студентов во время обучения. К служебным командировкам преподаватели МГУ имени М.В.Ломоносова относятся нормально, а вот к туристическим поездкам, преподаватели МГУ имени М.В.Ломоносова относятся очень негативно и, зачастую туристические поездки студентов, особенно за рубеж, выходят боком студентам во время сдачи зачётов и экзаменов во время сессии.







"
86,02 августа 2015,18:07,professorrating.org,"Если говорить о недостатках обучения в МГУ имени М.В.Ломоносова, то первым и самым неприятным недостатком в обучении в МГУ имени М.В.Ломоносова, является неорганизованный процесс оказания преподавателями МГУ имени М.В.Ломоносова консультаций по курсовым и диплому. Постоянно приходиться искать свободные аудитории, так как кафедра постоянно занята, в найденную и занятую аудиторию постоянно входят без стука другие преподаватели и студенты, чем отвлекают и мешают в процессе оказания консультаций по курсовым и диплому. Могу сказать, что из-за срыва нескольких очень серьёзных консультаций по оффшорному бизнесу, юристы, защищавшие Сергея Магнитского не смогли помочь ему и, он как известно умер в Лефортовской тюрьме, после чего в США появился так называемый СПИСОК МАГНИТСКОГО.







"
87,06 августа 2015,23:32,professorrating.org,"Подскажите, пожалуйста, есть ли у кого-нибудь информация (или личный опыт) о факультете фундаментальной физико-химической инженерии (фффхи) МГУ? Он достаточно новый и о нём информации практически нет. Где лучше изучать химию на химфаке или фффхи?







"
88,17 июня 2016,07:49,professorrating.org,"Химию лучше вообще не изучать, здоровее останетесь в психическом плане.







"
89,06 февраля 2017,13:04,professorrating.org,"Если Вы любите химию и планируете в совершенстве освоить эту науку, то лучше идти на химфак. ФФФХИ даёт возможность найти себя, даже если вы до сих пор не уверены в том, что вам интересно. Многим моим сокурсникам уже не так интересна химия, их больше интересуют математика/информатика/физика. На химфаке эти дисциплины преподаются на качественном уровне, но только для ознакомления, в то время как на физхиме у Вас будет возможность очень подробно изучать эти предметы. В частности, лекции по физике идут одновременно и в одинаковом количестве и у физического и у химического отделений факультета вплоть до третьего курса (дальше уже становится заметно разделение по специальности). Советую перед поступлением сравнить расписания и учебные программы двух факультетов, это также поможет определиться с выбором.Молодым людям советую обратить внимание на то, что на химфаке выделяется отдельный день для занятий на военной кафедре, в то время как студентам физхима приходится самостоятельно договариваться с преподавателями о переносе некоторых занятий (дня для военки не хватает, т.к. весь факультет раз в неделю уезжает в ИПХФ РАН Черноголовки для работы над курсовой. Это на самом деле не такая и большая проблема т.к. преподаватели относятся с пониманием, но стоит это учитывать).Таким образом, если Вы на 100% уверены, что хотите посвятить себя химии, то идите на химфак. Если же Вы хотите более широкого и глубокого изучения других естественных предметов, попробуйте физхим.Прошу обратить внимание!!!МГУ готовит прекрасных гуманитариев и высококлассных ученых/специалистов-естественников, но НЕ ГОТОВИТ ИНЖЕНЕРОВ. Не стоит идти на Факультет фундаментальной физико-химической инженерии в надежде на то, что вам там будут преподавать сопромат или другие дисциплины, необходимые инженеру. В МГУ из Вас будут готовить, в первую очередь, ученого, но кем стать, в конечном итоге, зависит только от Вас. 







"
90,18 августа 2015,04:23,professorrating.org,"Могу сказать за СПЕЦИАЛЬНЫЙ ФАКУЛЬТЕТ ЮРИДИЧЕСКОГО ФАКУЛЬТЕТА. Сразу после прохождения конкурсного отбора, Декан юридического факультета, предупреждал всех поступивших, что до конца, до получения диплома дойдут не все. Так и вышло, до конца дошла четверть поступивших на специальный факультет юридического факультета. Причин несколько. Первая и самая главная для многих причина, оплата образования. Тем кто платил из собственного кармана было проще, нежели тем за кого платила организация. Некоторым, за кого платила организация ставили условие на работе, учиться только на отлично, в противном случае оплату образования прекращали. Поэтому причин для СУИЦИДА у этой категории студентов было более чем предастаточно. Вторая причина, сам процесс обучения, который ничем отличается от процесса обучения остальных студентов. Поэтому причин ещё больше. МГУ ВУЗ номер один в России, поэтому волнений на экзаменах и зачётах очень много, так как требования у преподавателей МГУ к студентам высокие. МГУ всегда держал и держит свою марку КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ.







"
91,28 августа 2015,01:14,professorrating.org,"Кроме всего прочего, отдельного внимания заслуживают Лекции и Семинары в МГУ. На некоторые лекции вечернего факультета приходят достаточно известные люди чтобы послушать Профессоров МГУ. Если говорить о семинарах, то это вообще особый разговор, так как и Генеральная прокуратура и Министерство юстиции и Следственный комитет, просто ""ОТДЫХАЮТ"" от того что обсуждается на семинарах по Уголовному праву в МГУ. Поэтому могу сказать, что как бы не относились к ТАНКИСТУ Полковнику Юрию Буданову и, как бы не относились к Полковнику ВДВ господину Квачкову, состава преступления в их действиях нет. Дела против них сфабрикованы, сфабрикованы действующей Российской Политической властью.







"
92,03 сентября 2015,12:14,professorrating.org,"Хороший ВУЗ







"
93,16 марта 2019,11:29,professorrating.org,"Юристом, может, и стал, а вот запятые правильно расставлять так и не научился. :)







"
94,16 марта 2019,19:37,professorrating.org,"Ну Вы знаете, отвечу Вам СПАСИБО, так как пресловутое КАЗНИТЬ, НЕЛЬЗЯ ПОМИЛОВАТЬ или КАЗНИТЬ НЕЛЬЗЯ, ПОМИЛОВАТЬ, надоело уже всем. И именно по этой причине Автор Куланов Вячеслав Геннадьевич, вообще излагает свой взгляд на всю систему Русского Языка, Крещение России ну и так далее. Он это очень доходчиво пишет об этом в своей книге ""АЗ БУКА ИЗТИНЫ"".







"
95,16 ноября 2015,05:38,professorrating.org,"Ну а у меня практически  никуда не получилось устроиться по специальности полученной в МГУ, занялся испытанием на себе лекарственных средств. В Европе и США это называется PARMASTRIP (фармокологическая проституция). В результате денег мне за участие в клинических испытаниях лекарственных средств так и не заплатили. Я перенёс две полостные хирургические операции, страховую премию мне то же не заплатили. Судился. Дошёл до суда второй инстанции, суда округа. В результате судья округа написал мне в судебном документе, что я неправильно трактую нормы материального права и не учитываю всех обстоятельств дела. Так что вот, к чему могут привести отказы в трудоустройстве после окончания МГУ. 







"
96,21 ноября 2015,22:14,professorrating.org,"Вы правильно сказали ТИТУЛ, вот в чём проблема. Титульный Вы Выпускник или нет, Титульный Вы ПСИХ МГУ или нет. Мои родители обращались за помощью в разрешении этого вопроса, к ОМБУДЕСМЕНУ господину Лукину, он им отказал. За себя скажу так, я работал на Рублёвском шоссе, в Борвихе можно сказать. И, скажу так, НЕПУГАННЫЕ они там все. Понимаете, не ПУГАННЫЕ.







"
97,07 декабря 2015,16:42,professorrating.org,"Очень интересует информация о трех факультетах: высшая школа перевода, факультет журналистики и факультет мировой политики. Заранее спасибо







"
98,23 февраля 2019,20:46,professorrating.org,"Годичный курс профпереподготовки ""Дизайн СМИ"", факультет журналистики МГУ им. Ломоносова. Не советую, очень плохо! Училась в 2013-2014 учебном году. Курс совершенно не отвечает заявленной программе, уровень обучения очень низок. У нас была группа из 15 человек (около 5ти человек ушли в 1ом семестре из-за плохого обучения) и абсолютно все остались недовольны, в 1ом семестре мы писали коллективную жалобу руководителю курса, но это мало что изменило. Во-первых - плохая организация учебного процесса - невозможно узнать элементарное: расписание, даты экзаменов, зачетов, о заменах/ отменах пар мы узнавали иногда за несколько часов до занятия. Во-вторых - отношение преподавателей - почти всем на нас было плевать, в 1ом семестре преподаватели регулярно опаздывали на пары, либо уходили раньше, по предмету ""препрес"" преподаватель приходила откровенно неподготовленная к занятиям, 40 минут от часового занятия она болтала на отвлеченные темы, потом замолкала и смотрела на нас...в итоге мы сами предлагали тему, чтобы она нам рассказала. Были случаи, что преподаватели забывали прийти!! за занятие. Учеба велась на ""отвалите"", приходили отсидеть свои часы. И само преподавание часто выглядело так - нам показывали картинки из интернета и ""делайте"", совершенно не объясняя как делать, в частности, так было на, пожалуй, одном из главных предметах, ""основах дизайна"", который вела сама руководитель курса - Волкова Вера Витальевна, этот предмет был просто нулевым по уровню обучения, помимо этого на занятиях она вела себя очень по-хамски и неуважительно. Было очень много заданий, часто совершенно непонятных и лишних, при этом не объясняли как их делать, в итоге все делали лишь бы сделать, либо по наитию, в итоге мало чему научились. Назвать это курс ""профпереподготовкой"" нельзя, так как он не даст возможности сменить профессию, можно назвать его ""введением в графический дизайн"", он дает только общее представление обо всех направлениях графического дизайна, но для ""введения"" он дорого стоит:) Я пробовала после него найти работу дизайнера - не получилось, часто мне просто не отвечали, но на одном собеседовании откровенно сказали - что дизайн очень слаб и меня не возьмут - я думаю это самое лучшее подтверждение НЕэффективности курса и НЕсоответствию заявленному названию.Но были и хорошие, добросовестные преподаватели, справедливости ради напишу все предметы и оценку преподаванию:""Препресс технологии"" (Макарова Т) - очень плохо, преподаватель не готовилась к занятиям, по полурока болтала на другие темы, помимо всего этого совершенно не умеет преподавать""Цифровая визуализация (motion-дизайн)"" (Лупарева Д) - отлично""Современная полиграфия (технологии печати)"" (Андреев) - теоретический предмет, нормально, но часто давалась старая информация - например, про печатные машины, которые уже не используются, при этом не уточнялось, что это так""Дизайн рекламно-полиграфич продукции (основы дизайна)"" (Волкова ВВ)- ведет руководитель курса - очень плохо, и уровень преподавания и личное отношение к студентам""Инфографика"" (Новичков А)- хорошо""Электронный дизайн"" (Беляев А) - отлично""История изобразительных искусств"" (Левицкая Л) - отлично""Шрифт и типографика"" (Афонина К)- в 1м семестре - плохо, во 2ом - хорошо""Рисунок и колористика"" (Чапковская Д)- плохо, никак""Фирменный стиль"" (Андреев А) - плохо""Графич илл-я"" (Свитич А) - хорошо""Техническое редактир и моделир сми"" - очень плохо, нам поставили очень пожилого преподавателя, который уже не может преподавать, он рассказывал нам о цветах на своей даче...""Художественное конструир газеты и журнала"" (Романенко И) - хорошо""Авторское право"" - теоретич предмет, хорошоОтдельно хочу сказать, под ""хорошо"" я подразумеваю - не так плохо как другие, т.е. эти преподаватели старались и хотели нас чему-то научить, в отличие от остальных, но не знаю почему, то ли в силу слабой программы или неумения учить - у них это не очень получилось...







"
99,30 декабря 2015,02:55,professorrating.org,"На правах выпускника специального факультета Юридического факультета МГУ имени М.В.Ломоносова, могу сказать, что МГУ имени М.В.Ломоносова, не всегда выполняет свои обещания. Так например, мне в 1998 году была обещана ЗАКРЫТАЯ ЗАЩИТА моего диплома и звание Кандидата юридических, в случае если я защищу свой диплом, по теме которую я поднял в 1998 году. Диплом я защитил в 2000 году, но в общем порядке и как Вы сами понимаете, никакого звания Кандидата юридических наук ЭКСТЕРНОМ мне присвоено не было. Так же мне в МГУ имени М.В.Ломоносова обещали присуждение Юридической премии ФЕМИДА, в случае если я выиграю суд по 395 статье Гражданского кодекса Российской Федерации. Суд я выиграл, но никакой премии не получил. Возникает вопрос. КТО ОТВЕТИТ за данные мне обещания ? Я все условия выполнил, но в замен не получил обещанного. Это нарушение принципа ВСТРЕЧНОГО УДОВЛЕТВОРЕНИЯ. Поэтому Вы знаете, я и не удивлён уже, что при В.В.Путине хотели аннулировать дипломы практически всех выпускников Юридического факультета МГУ имени М.В.Ломоносова.







"
100,04 января 2016,13:06,professorrating.org,"Подскажите пожалуйста: реально ли совмещать учебу в МГУ (скажем на химфаке или физфаке) и профессиональный спорт?







"
101,08 января 2016,11:12,professorrating.org,"На правах выпускника МГУ имени М.В.Ломоносова, отвечу Вам так. В России есть такая поговорка не для всех. ЕСЛИ НЕЛЬЗЯ, НО ОЧЕНЬ ХОЧЕТСЯ, ТО МОЖНО. На практике, скажу Вам так, если вы планируете стать после окончания МГУ Кандидатом наук, или не дай бог Профессором, то у вас просто не будет времени на Профессиональный спорт. Ну а если Вы пришли в МГУ по иным причинам и соображениям, то ДА, Совмещать учёбу и Профессиональный спорт МОЖНО.







"
102,24 апреля 2017,22:28,professorrating.org,"Могу ли напомнить о Елене Петушковой - кандидата наук с биофака и олимпийской чемпионке?







"
103,05 мая 2019,19:15,professorrating.org,"Кафедра органической химии, лаборатория органического синтеза, д.х.н. Матвеева Елена Дмитриевна, по совместительству ученый секретарь кафедры. Советую не иметь с ней никаких общих дел. Некомпетентна в науке. Особенно не рекомендуется делать с ней совместную научную работу: можете сделать 99% работы, а потом не обнаружить себя в списках авторов статьи, такое на*балово было не раз. К тому же отличается хамским отношением к людям и диктаторскими наклонностями: в своей лаборатории установила рабство и презирает любую инициативу и самостоятельность.







"
104,14 октября 2019,21:02,professorrating.org,"Сообщение находится на модерации. В течение дня оно будет проверено и опубликовано, если соответствует правилам сайта.



0



"
105,18 февраля 2016,21:55,professorrating.org,"Господа, поделитесь, пожалуйста, мыслями и впечатлениями от факультета фундаментальной медицины (ФФМ)! Поступление в этом году, раздумываю над вариантами, поэтому очень хочется узнать мнение знающих людей!







"
106,05 марта 2016,23:19,professorrating.org,"Привет,ребята!Все, что вы написали до этого - все это неправильно! Это всё, за редким исключением, - очень личное и необъективное...Вы слишком мало знаете  об МГУ... И судите о нем только по вашему субъективному  впечатлению.  Для большинства из вас - это контора, которая является внешним фактором. Она для вас - либо хорошая, либо плохая, либо никакая...А я человек, для которого МГУ, - это все: жизнь, проблемы, удачи  и неудачи, страхи и все - от полного самоутверждения до падения на дно.Все равно никто ничего у нас в стране не придумал лучше, чем МГУ. Здесь сконцентрировано все, что есть лучшего у нас в стране. Если вы хотите найти в России что-то лучшее, чем МГУ, то не найдете. Здесь сложно жить. Если вы думаете, что здесь обитают люди только с неординарными возможностями, то вы сильно ошибаетесь. Народу здесь много всякого. Что они тут делают, я не знаю, но им здесь тоже уютно. Они тут тоже могут жить... Но не подумайте, что я считаю себя неординарной личностью. Отнюдь...Но мне здесь ужасно интересно. Я люблю разбираться в проблемах. Я люблю преодолевать трудности, когда непонятно,  как  решит проблему. Я люблю участвовать в авантюрах без точно известного результата, потому, что это - самое интересное.   Я люблю студентов.  Я люблю читать лекции.  Я люблю объяснять и чувствовать, что меня понимают. Я люблю учить, потому что это самое приятное, когда тебя понимают...Когда ты можешь передать людям то, что до тебя не знали...     Если вы думаете, что мне все нравится, что происходит в МГУ, то вы глубоко ошибаетесь. Я все переживаю и провожу сквозь себя. И очень многие вещи мне не нравятся. Но все равно я - это МГУ, а МГУ -это я! Нельзя отнять у меня то, что находится у меня в сердце.Нельзя оценить в полной мере то, что ты до конца не понял и не испытал...Либо ты этого хочешь, либо - нет. И ждать, что кто-то тебе должен сделать чего-то, что тебе нравится, пора  прекращать... Студент - инженер - старший инженер- начальник партии -научный сотрудник- старший научный сотрудник- доцент - профессор.                  







"
107,11 марта 2016,08:54,professorrating.org,"Вы знаете, возможно Вы и правы, но есть одно. Не всем тем кто учился и окончил МГУ дают квартиры недалеко от МГУ. Поэтому падать на дно это конечно хорошо, но только в том случае, если есть куда. В остальном с Вами соглашусь, так как в жизни вообще можно требовать либо от себя лично либо от кого либо (третьих лиц) по суду.
Инженер, Юрист, Инвалид второй группы.







"
108,28 марта 2016,05:41,professorrating.org,"Вижу многих интересует факультет Фундоментальной медецины, меня тоже..Пожалуйста, расскажите!







"
109,06 апреля 2016,12:56,professorrating.org,"Для поступления на Факультет ФундОментальной МедЕцины необходимо сдать ЕГЭ по русскому языку. Успехов в сдаче!







"
110,28 марта 2016,16:51,professorrating.org,"А я училась в аспирантуре социологического факультета. Воспоминания у меня остались самые лучшие.МГУ - мой любимый ВУЗ.







"
111,08 мая 2016,00:33,professorrating.org," Расскажите про Психологический факультет, пожалуйста. Имеет ли смысл туда идти? 







"
112,12 мая 2016,15:10,professorrating.org,"Нет, не имеет.







"
113,25 мая 2016,00:05,professorrating.org,"Расскажите, пожалуйста, максимально подробно о поступлении, об обучении, о сложностях в обучении на спецотделении Юридического факультета (второе высшее) МГУ.
Какая необходима подготовка при поступлении и какие есть нюансы при обучении. 
Как после обстоят дела с трудоустройством. 
Кто доучился до магистра, а кто остановился на бакалавре. 
В целом отзывы о втором высшем образовании на Юридическом факультете МГУ.







"
114,01 июня 2016,20:51,professorrating.org,"Поступление на Специальный факультет Юридического факультета МГУ (второе высшее образование), происходит очень просто. Вы подаёте документы в деканат юридического факультета, Вам назначают дату СОБЕСЕДОВАНИЯ. В случае если Вы пройдёте собеседование на Юридическом факультете МГУ, Вас зачислят на обучение в качестве студента. В соответствии с действующим Российским законодательством, получение второго высшего образования ПЛАТНОЕ. Кто платит, Вы или Организация, для Юридического факультета МГУ не имеет никакого значения. В процессе обучения, требования к студентам специального факультета юридического факультета МГУ, те же что и к обычным студентам, поступившим на первое высшее образование. Сам факт обучения на специальном факультете юридического факультета МГУ подразумевает, что вопрос с трудоустройством у Вас решён. Как правило, вообще в МГУ имени М.В.Ломоносова поступают люди, которые чего то хотят добиться в жизни. Поэтому некоторые учатся для себя, чтобы повысить свой уровень интеллекта, некоторые с дальним прицелом, для того чтобы стать Министрами и Директорами предприятий.







"
115,23 июня 2016,23:25,professorrating.org,"Кто может рассказать что-нибудь дельное о факультет мировой политики? 







"
116,17 июля 2016,23:26,professorrating.org,"Что можете рассказать об экономическом факультете, стоит ли поступать? Большой ли конкурс? 







"
117,31 июля 2016,09:36,professorrating.org,"добрый день, можно узнать что-нибудь об учебе на истфаке? заранее спасибо.







"
118,01 августа 2016,23:17,professorrating.org,"про Географический факультет что скажете ребята?







"
119,22 августа 2016,12:06,professorrating.org,"Очень интересует факультет фундаментальной медицины. Пожалуйста, отзовитесь те, кому есть что сказать! Для меня очень важно знать мнение студента/выпускника этого факультета. Заранее благодарю.







"
120,27 августа 2016,08:39,professorrating.org,"PAR IN PAREM IMPERIUM NON HABET - (Равный над равным власти не имеет).







"
121,29 августа 2016,19:26,professorrating.org,"МГУ - известный бренд, диплом которого все еще ценится в федерашке и за ее пределами. Судьбы же выпускников МГУ складываются по-разному: все зависит от характера человека. 







"
122,01 октября 2016,09:20,professorrating.org,"Ошибка молодости







"
123,08 декабря 2016,07:45,professorrating.org,"Это МГУ!!! Один из лучших университетов страны!!! Жаль, что не все могут  себе позволить  учиться (( 







"
124,27 декабря 2016,16:11,professorrating.org,"почитала отзывы,и сделала вывод один институт,университет и т.д. не играет роли в жизни,здесь все зависит от человека , а образование можно хорошее получить в любом вузе было бы желание!!!!! МГУ не учусь ,но просто хотела бы послушать лекции по юриспруденции ,что такого дает преподаватели интересного,что в другом вузе нет.







"
125,11 января 2017,02:21,professorrating.org,"МГУ - действительно сильный ВУЗ. Я успела поучиться в другом заведении, оно по-своему хорошее, но я знала, что такого образования, как в МГУ, не получу, поэтому через год после первой неудачной попытки попробовала поступить снова на биологический факультет. Ни разу не пожалела об этом. Учиться сложно, но без труда не вытащить и рыбки из пруда. Знаю, что многие сильные учёные тоже не с первого раза поступали в МГУ, но они пытались снова и снова, потому что оно того стоит! Многие, кто не поступил и сдался или не нашёл в себе силы хотя бы попробовать, спешат закидать камнями наш ВУЗ, такие люди есть и среди моих друзей, к сожалению. Если бы Вы действительно хотели бы здесь учиться, то смогли бы поступить, а так это всё похоже на басню о Лисе и винограде. Очень многие ВУЗы России имеют уровень ПТУ, образование, которое там получают, никак нельзя назвать высшим. Хороших университетов мало, а уж как процветает взяточничество на периферии... В МГУ у человека есть шанс получить прекрасное образование бесплатно. Предоставляется хорошее общежитие, стипендия здесь выше, чем во многих других университетах, есть возможность расти и развиваться. Выпускники МГУ в большинстве своём успешные люди. Конечно, есть и те, кто остался недоволен своим образованием, но их мало и это, по моим наблюдениям, те, кого сюда привели родители. Наш факультет, как, впрочем, и все государственные организации в России, пострадал от перестройки. Учёные и преподаватели получали в те годы микроскопические зарплаты, многим пришлось уйти. Только сейчас мы более-менее вылезаем из дыры, в которую провалились. Но, даже в то время, МГУ готовил специалистов высокого уровня, доказательство тому тот факт, что они прекрасно устраивались на работу за границей. И сейчас большая часть моих однокурсников легко уезжает в другие страны. Выпускники многих ли других ВУЗов высоко ценятся за рубежом? Если они в каких-то университетах и есть, то это единицы самых одарённых. В МГУ процент таких людей значительно больше. А почему это важно? Потому что мировая оценка более объективна, чем оценка людей, которые сюда не поступили.







"
126,16 января 2017,15:57,professorrating.org,"Почитал отзывы.Удивительно, что некоторые выпустники даже  не в состоянии правильно выразить свои мысли.Знаю МГУ с начала 90х ,учился,работал там.Имею массу знакомых, причем с разных факультетов.Далеко не все в дальнейшем связывали свою жизнь с полученной профессией,но многие использовали шанс устроиться в Москве.Да ,там действительно не редкость нервные срывы и самоубийства студентов,но это уже скорее особенность психики некоторых. Считаю что раньше МГУ был лучше по качеству обучения .Старые кадры  уходят по естественным причинам.Сейчас  у МГУ появилось множество новых корпусов и общаг. В этом плане, конечно, лучше.А ,вообще, многое в жизни зависит от самого человека, а не от вуза.При всех своих недостатках ,он так и остается вузом  N1.







"
127,23 января 2017,15:21,professorrating.org,"МГУ это я, МГУ это мы, МГУ это лучшие люди страны.







"
128,24 января 2017,16:13,professorrating.org,"МГУ - единственный университет в стран, и этим все сказано! 







"
129,06 февраля 2017,23:33,professorrating.org,"Я учусь на философский факультете. Сюда несложно поступить, а учиться и того легче. Преподаватели очень разные, от людей преклонного возраста, до очень молодых. Столовая хорошая. Общага сносная. Но я ожидал большего. Мне казалось, что для учебы в лучшем вузе нужно прилагать трагические усилия, трудиться день и ночь. Но это не про философский факультет. Он даёт тебе свободу выбора, можешь скатиться на холостых оборотах, а можешь пользоваться всеми возможностями. Кстати, возможности для самообразования огромны: конференции и факультативные занятия, межфакультетские курсы, клубы дебатов, все что душе угодно. Но чтобы пользоваться всем этим, нужно заставить себя усердно работать и в этом вся сложность.







"
130,05 апреля 2017,20:49,professorrating.org,"Как и в любом университете есть свои плюсы и минусы, есть хорошие преподаватели, а есть и такие от которых стоит держаться подальше. МГУ входит в ТОП 1000 вузов мира (216 место) и этим все сказано. Конечно не Гарвард и не Оксфорд, но это реально сильный вуз который хорошо знают за рубежом и с которым считаются.







"
131,04 августа 2017,14:55,professorrating.org,"На биологическом факультете многим выпускникам магистратуры в этом году не совсем заслуженно выдали дипломы с отличием. Речь идёт о тех, кто в бакалавриате имел кучу троек. Считается, что бакалавриат и магистратура являются несвязанными ступенями высшего образования, поэтому оценки в дипломе бакалавра не учитываются при выдаче красного диплома в магистратуре. Т.е. фактически любой неуч, кое-как окончивший четыре курса общего образования и даже не пересдававший свои тройки, может без усилий (поступление в магистратуру происходит почти автоматически, Универсиада во многом фиктивна) получить диплом с отличием МГУ. Считаю это несправедливым по отношению к выпускникам-специалистам других околобиологических факультетов (ФББ, ФФМ, психологи), которые вынуждены в течение шести лет безвылазно и не покладая рук пахать ради аналогичного  диплома. На мой взгляд, на красный диплом магистратуры могут претендовать лишь те, кто имеет красный диплом бакалавриата.







"
132,19 июня 2018,19:29,professorrating.org,"Вы даже не представляете, какие студенты в этом году получают красные дипломы. Вела у этого курса несколько лет назад семинары по микробиологии. Ну, что вам сказать? Это были даже не двойки, это нули. На занятия не ходили, базовые школьные знания отсутствовали напрочь (и это на третьем курсе!).  Приходят два раза в год только чтобы принести квитанцию об оплате очередного семестра. А дальше делай, что хочешь! Помню, в зачётке у студента насчитала 14 троек, когда ставила пятнадцатую, сейчас  закончил вуз с отличием.  Мне, говорит, микробиология не нужна, это не по моей специальности. Невероятно!  Куда только учебная часть смотрит? При М.В. Гусеве давно бы уже всех выгнали. А сейчас нельзя выгонять. Двойки под запретом, учащихся нежелательно травмировать оценкой удовлетворительно.  Они же дети, говорят мне! Какие могут быть дети в 22 года? Некоторые группы получили красные дипломы в полном составе (201, 211, 218, 223), а эти кафедры традиционно далеко не самые сильные.  Даже откровенно слабые. Специальность не знают, английский не знают, пишут безграмотно, статей нет.  Наших кафедральных тянут из последних сил, даже тех, которые типы брожений не могут перечислить. Реакции гликолиза не знают! На ГОС-экзамене по микробиологии! Потом ещё удивляются, что их на работу  с такими знаниями не берут!







"
133,08 октября 2018,21:31,professorrating.org,"На биофаке вообще одни бестолочи учатся которые на БиБи не прошли







"
134,07 сентября 2017,17:05,professorrating.org,"Многие споры вытекают из простого непонимания вопроса.слава и престиж мгу это исключительно благодаря фундаментальным естественнонаучным знаниямвсе остальное в лучшем случае видимость, в худшем профанация. 







"
135,20 октября 2017,14:35,professorrating.org,"Некоторые из выпускников Юридического факультета МГУ, поработав в Российском Бизнесе, стали Королевскими адвокатами, разных Королевских домов мира.







"
136,16 мая 2018,14:52,professorrating.org,"Закончил ВУЗ из трех букв на Ленинских горах 25 лет назад, сейчас пришло время получать высшее образование племянникам. Я просто поражен, что не то что все тот же совок сохранился в высшем образовании, а просто сталинизм какой-то наступил! Полное бесправие студентов, преподаватели и администрация вытворяют, что хотят. Человеку извне происходящее кажется кафкианским абсурдом. Не то что партнерство - просто никакого уважения к человеческому достоинству студента. А не нравится - можете быть свободны.







"
137,31 мая 2018,08:58,professorrating.org,"Мехмат МГУ- очень неоднозначный факультет. Нельзя сказать, что плохой, но и хорошего там немного. Главный минус - это то,что количество преподавателей, разбирающихся в своем предмете, понимающих его, умеющих донести и соответственно строго спросить, крайне мало. За три года обучения могу сказать, что таких  преподавателей было ТОЛЬКО два!. Я не привереда, все могу понять, но когда матанализ тебе на семинарах объясняют по бумажке, теряют нить и долго ищут , где же, где же....Или так: студент у доски, ""мучает"" задачу (в это время от преподавателя слышит очень много лестного в свой адрес) , но идет, идет к логическому завершению и выдает совершенно гениальную мысль, которая намного упрощает все решение... его останавливают, возвращают на путь ""истинный"", в итоге - под руководством преподавателя (который глазами то на доску, то в бумажку), завершается трудный процесс. НО.. не тут-то было, оказывается получилась полная бессмыслица, а препод не в ту бумажку смотрел, и решение должно быть таким, как предложил студент, но этого уже никто не помнит и никому не надо. И это не единичные случаи на семинаре у преподавателя, в резюме которого стоит аспирантура МГУ на отлично. Что-то неправильно в датском королевстве. Это же мехмат. Все-таки должны быть хоть какие-то знания присутствовать у ведущего семинар(не молодой уж специалист). Итог: группа ржет над горе-преподом, а потом в полном составе мучается над сдачей всего и вся. Зачинщики были выдавлены за инакомыслие, официально - совсем другая формулировка. Вывод: На факультет на 1 курс было зачислено 400 человек, осталось к концу 3 курса - около 100, кто сам ушел от этого раздолбайства, кого ушли. Лозунг ""кто не учится - будет отчислен"", работает. Правда,совсем в другой интерпретации. Были отчислены умнейшие ребята. Я не говорю, что остались одни ... Но их процентов 60 из выживших. Цифры говорят сами за себя. Не знаю как на других факультетах, но на мехмат в основном поступают те, кто понимает, что делает и зачем. 300 человек  бездельников-мехматовцев (совершенно разных социальных слоев и регионов России) - как-то уж очень много,не правда ли? Вопрос: зачем и почему такое творится на мехмате?







"
